ID тендера,Наименование услуг,Количество,Способ проведения закупки,НМЦК,Ссылка на тендер,ЭТП,Регион,Обеспечение заявки,Обеспечение контракта,Способ обеспечения исполнения,Срок подачи заявки до,Решение по участию,Цена предложения,Результат,Дата заключения контракта,Дата выполнения работ,Комментарии руководителя отдела по участию,Ручная проверка,Уверенность ИИ
0119200000126013229,ЭА-№-13073/26 «На оказание услуг по обучению работодателей и работников вопросам охраны труда для КГБУЗ «КГДБ № 8» (среди СМП и СОНКО)»,148,"Электронный аукцион, 44-ФЗ","159 833,83",https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0119200000126013229,АО «Сбербанк-АСТ»,Красноярский край,,Да,,05.08.2026,рекомендуется,"59 244,02",,,,"Тип: обучение
НМЦК: 159,834 ₽
Расчётная цена: 59,244 ₽
Рекомендуемая цена: 59,244 ₽
Маржа: 10.0% (5,386 ₽)
Себестоимость: 53,858 ₽
Уровень риска: medium
Решение: рекомендуется
Источник количества: llm
Уверенность ИИ: 0.90

Риски и флаги:
• Доп.расходы 5000-15000₽/день
• 4 городов — сложная логистика

Транспортные: 10,000 ₽
Субподряд: 0 ₽
Обеспечение: 2,000 ₽",НЕТ,0.90
0387200030326000142,"Оказание услуг по проведению специальной оценки условий труда, по оценке профессиональных рисков и построению системы управления профессиональными рисками.",280,"Электронный аукцион, 44-ФЗ","421 468,60",https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0387200030326000142,РТС-тендер,Ханты-Мансийский Автономный округ - Югра АО,,Да,,24.07.2026,не участвуем,"500 435,54",,,,"Тип: комбинированный
НМЦК: 421,469 ₽
Расчётная цена: 500,436 ₽
Рекомендуемая цена: 500,436 ₽
Маржа: 10.0% (45,494 ₽)
Себестоимость: 454,941 ₽
Уровень риска: high
Решение: не участвуем
Источник количества: nmck_fallback
Уверенность ИИ: 0.40

Риски и флаги:
• Себестоимость 454941₽ = 107.9% от НМЦК
• Нет данных о сроках исполнения (требуется детальный парсинг ТЗ)
• 19 городов — сложная логистика

Транспортные: 228,000 ₽
Субподряд: 0 ₽
Обеспечение: 2,000 ₽",НЕТ,0.40
0301300234126000043,Оказание услуг по проведению специальной оценки условий труда (СОУТ),89,"Электронный аукцион, 44-ФЗ","133 800,00",https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0301300234126000043,Электронная торговая площадка «Фабрикант»,Башкортостан Респ,,Да,,24.07.2026,не участвуем,"489 580,30",,,,"Тип: соут
НМЦК: 133,800 ₽
Расчётная цена: 489,580 ₽
Рекомендуемая цена: 489,580 ₽
Маржа: 10.0% (44,507 ₽)
Себестоимость: 445,073 ₽
Уровень риска: high
Решение: не участвуем
Источник количества: nmck_fallback
Уверенность ИИ: 0.40

Риски и флаги:
• Себестоимость 445073₽ = 332.6% от НМЦК
• Нет данных о сроках исполнения (требуется детальный парсинг ТЗ)
• 22 городов — сложная логистика

Транспортные: 264,000 ₽
Субподряд: 0 ₽
Обеспечение: 2,000 ₽",НЕТ,0.40
32616237671,Оказание услуг по обучению охране труда работников,67,"Запрос котировок в электронной форме, 223-ФЗ","101 967,11",https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeGuid=&regNumber=32616237671,РТС-тендер,Челябинская,,,,04.08.2026 07:00 (МСК+2),рекомендуется,"76 640,30",,,,"Тип: соут
НМЦК: 101,967 ₽
Расчётная цена: 76,640 ₽
Рекомендуемая цена: 76,640 ₽
Маржа: 10.0% (6,967 ₽)
Себестоимость: 69,673 ₽
Уровень риска: medium
Решение: рекомендуется
Источник количества: nmck_fallback

Риски и флаги:
• Нет данных о сроках исполнения (требуется детальный парсинг ТЗ)
• Уверенность ИИ 0.00 — данные могут быть неточными

Транспортные: 24,000 ₽
Субподряд: 0 ₽
Обеспечение: 2,000 ₽",НЕТ,
