ID тендера,Наименование услуг,Количество,Способ проведения закупки,НМЦК,Ссылка на тендер,ЭТП,Регион,Обеспечение заявки,Обеспечение контракта,Способ обеспечения исполнения,Срок подачи заявки до,Решение по участию,Цена предложения,Результат,Дата заключения контракта,Дата выполнения работ,Комментарий от ИИ-агента,Ручная проверка,Уверенность ИИ,Комментарии руководителя отдела по участию
0372100021626000304,Оказание образовательных услуг по дополнительной профессиональной программе профессиональной переподготовки в области пожарной безопасности для получения квалификации «Специалист по пожарной профилактике»(СЗ-ПР-39-26),108,"Запрос котировок в электронной форме, 44-ФЗ","162 500,00",https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0372100021626000304,РТС-тендер,Санкт-Петербург,Да,"Да (16 250,00 Российский рубль
            
                (10 %))",Не требуется,11.08.2026,рекомендуется,"70 262,77",,,,,ДА,1.00,"Тип: обучение
НМЦК: 162,500 ₽
Расчётная цена: 70,263 ₽
Рекомендуемая цена: 70,263 ₽
Маржа: 10.0% (6,388 ₽)
Себестоимость: 63,875 ₽
Уровень риска: medium
Решение: рекомендуется
Источник количества: llm_fallback
⚠️ ТРЕБУЕТСЯ РУЧНОЙ АНАЛИЗ: количество не определено или ненадёжно
Уверенность ИИ: 1.00

Риски и флаги:
• Нет данных о сроках исполнения (требуется детальный парсинг ТЗ)
• Данные ненадёжны — требуется ручная проверка ТЗ
• ⚠️ Авто-определение документов для 65 слушателей. Требуется проверка ТЗ.

Транспортные: 10,000 ₽
Субподряд: 0 ₽
Обеспечение: 2,000 ₽"
0318300196626000024,Оказание услуг по специальной оценке условий труда и разработке процедуры и оценке профессиональных рисков,104,"Запрос котировок в электронной форме, 44-ФЗ","103 137,84",https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0318300196626000024,РТС-тендер,Краснодарский край,Не требуется,Да (5 %),Не требуется,11.08.2026,рекомендуется,"93 910,30",,,,,НЕТ,1.00,"Тип: соут
НМЦК: 103,138 ₽
Расчётная цена: 93,910 ₽
Рекомендуемая цена: 93,910 ₽
Маржа: 10.0% (8,537 ₽)
Себестоимость: 85,373 ₽
Уровень риска: low
Решение: рекомендуется
Источник количества: llm
Уверенность ИИ: 1.00

Риски и флаги:
• Нет данных о сроках исполнения (требуется детальный парсинг ТЗ)

Транспортные: 24,000 ₽
Субподряд: 0 ₽
Обеспечение: 2,000 ₽"
0387200006226000058,Оказание услуг по проведению специальной оценке условий труда,63,"Запрос котировок в электронной форме, 44-ФЗ","168 000,21",https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0387200006226000058,РТС-тендер,Ханты-Мансийский Автономный округ - Югра АО,Не требуется,"Да (16 800,02 Российский рубль
            
                (10 %))",Не требуется,11.08.2026,рекомендуется,"87 880,54",,,,,НЕТ,1.00,"Тип: комбинированный
НМЦК: 168,000 ₽
Расчётная цена: 87,881 ₽
Рекомендуемая цена: 87,881 ₽
Маржа: 10.0% (7,989 ₽)
Себестоимость: 79,891 ₽
Уровень риска: low
Решение: рекомендуется
Источник количества: fallback_text
Уверенность ИИ: 1.00

Риски и флаги:
• Нет данных о сроках исполнения (требуется детальный парсинг ТЗ)

Транспортные: 24,000 ₽
Субподряд: 0 ₽
Обеспечение: 2,000 ₽"
0325300017326000062,Оказание услуг по специальной оценке условий труда,86,"Запрос котировок в электронной форме, 44-ФЗ","123 266,38",https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0325300017326000062,АО «Сбербанк-АСТ»,Астраханская обл,Не требуется,Да (5 %),Не требуется,12.08.2026,рекомендуется,"59 005,54",,,,,НЕТ,1.00,"Тип: комбинированный
НМЦК: 123,266 ₽
Расчётная цена: 59,006 ₽
Рекомендуемая цена: 59,006 ₽
Маржа: 10.0% (5,364 ₽)
Себестоимость: 53,641 ₽
Уровень риска: low
Решение: рекомендуется
Источник количества: fallback_text
Уверенность ИИ: 1.00

Риски и флаги:
• Нет данных о сроках исполнения (требуется детальный парсинг ТЗ)

Транспортные: 12,000 ₽
Субподряд: 0 ₽
Обеспечение: 2,000 ₽"
0333300011326000287,Оказание услуг по проведению специальной оценки условий труда,136,"Запрос котировок в электронной форме, 44-ФЗ","240 267,12",https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0333300011326000287,АО «Сбербанк-АСТ»,Ивановская обл,Не требуется,Не требуется,Не требуется,12.08.2026,рекомендуется,"81 555,54",,,,,НЕТ,1.00,"Тип: комбинированный
НМЦК: 240,267 ₽
Расчётная цена: 81,556 ₽
Рекомендуемая цена: 81,556 ₽
Маржа: 10.0% (7,414 ₽)
Себестоимость: 74,141 ₽
Уровень риска: low
Решение: рекомендуется
Источник количества: fallback_text
Уверенность ИИ: 1.00

Риски и флаги:
• Нет данных о сроках исполнения (требуется детальный парсинг ТЗ)

Транспортные: 12,000 ₽
Субподряд: 0 ₽
Обеспечение: 2,000 ₽"
