ID тендера,Наименование услуг,Количество,Способ проведения закупки,НМЦК,Ссылка на тендер,ЭТП,Регион,Обеспечение заявки,Обеспечение контракта,Способ обеспечения исполнения,Срок подачи заявки до,Решение по участию,Цена предложения,Результат,Дата заключения контракта,Дата выполнения работ,Комментарии руководителя отдела по участию,Ручная проверка,Уверенность ИИ
32616212698,Оказание услуг по дополнительному профессиональному образованию безработных граждан по программе профессиональной переподготовки «Специалист в области охраны труда»,706,"Запрос котировок в электронной форме, 223-ФЗ","1 059 999,90",https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeGuid=&regNumber=32616212698,РТС-тендер,Санкт-Петербург,,,,24.07.2026 10:00 (МСК),рекомендуется,"900 999,91",,,,"Тип: обучение
НМЦК: 1,060,000 ₽
Расчётная цена: 901,000 ₽
Рекомендуемая цена: 901,000 ₽
Маржа: 21.4% (159,000 ₽)
Себестоимость: 742,000 ₽
Уровень риска: medium
Решение: рекомендуется
Источник количества: nmck_fallback
⚠️ ТРЕБУЕТСЯ РУЧНОЙ АНАЛИЗ: количество не определено или ненадёжно
Уверенность ИИ: 0.40

Риски и флаги:
• Нет данных о сроках исполнения (требуется детальный парсинг ТЗ)
• Данные ненадёжны — требуется ручная проверка ТЗ

Транспортные: 0 ₽
Субподряд: 0 ₽
Обеспечение: 10,000 ₽",ДА,0.40
32616239536,Оказание услуг по проведению производственного лабораторного контроля в филиале «Южная психиатрическая больница»,70,"Запрос котировок в электронной форме, 223-ФЗ","189 970,02",https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeGuid=&regNumber=32616239536,"АО ""РАД""",Свердловская,,,,04.08.2026 08:00 (МСК+2),рекомендуется,"58 140,39",,,,"Тип: плк
НМЦК: 189,970 ₽
Расчётная цена: 58,140 ₽
Рекомендуемая цена: 58,140 ₽
Маржа: 10.0% (5,285 ₽)
Себестоимость: 52,855 ₽
Уровень риска: medium
Решение: рекомендуется
Источник количества: llm
Уверенность ИИ: 0.90

Риски и флаги:
• Срок 20 дней при большом объёме

Транспортные: 40,000 ₽
Субподряд: 0 ₽
Обеспечение: 2,000 ₽",НЕТ,0.90
0301100000726000053,Прочая закупка услуг (Специальной оценки условий труда),96,"Запрос котировок в электронной форме, 44-ФЗ","115 200,00",https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0301100000726000053,АО «Сбербанк-АСТ»,Башкортостан Респ,,,,27.07.2026,не участвуем,"221 180,30",,,,"Тип: соут
НМЦК: 115,200 ₽
Расчётная цена: 221,180 ₽
Рекомендуемая цена: 221,180 ₽
Маржа: 10.0% (20,107 ₽)
Себестоимость: 201,073 ₽
Уровень риска: high
Решение: не участвуем
Источник количества: llm
Уверенность ИИ: 0.90

Риски и флаги:
• Себестоимость 201073₽ = 174.5% от НМЦК
• Нет данных о сроках исполнения (требуется детальный парсинг ТЗ)
• 9 городов — сложная логистика

Транспортные: 108,000 ₽
Субподряд: 0 ₽
Обеспечение: 2,000 ₽",НЕТ,0.90
