ID тендера,Наименование услуг,Количество,Способ проведения закупки,НМЦК,Ссылка на тендер,ЭТП,Регион,Обеспечение заявки,Обеспечение контракта,Способ обеспечения исполнения,Срок подачи заявки до,Решение по участию,Цена предложения,Результат,Дата заключения контракта,Дата выполнения работ,Комментарии руководителя отдела по участию,Ручная проверка,Уверенность ИИ
32616239536,Оказание услуг по проведению производственного лабораторного контроля в филиале «Южная психиатрическая больница»,70,"Запрос котировок в электронной форме, 223-ФЗ","189 970,02",https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeGuid=&regNumber=32616239536,"АО ""РАД""",Свердловская,,,,04.08.2026 08:00 (МСК+2),рекомендуется,"68 149,62",,,,"Тип: плк
НМЦК: 189,970 ₽
Расчётная цена: 68,150 ₽
Рекомендуемая цена: 68,150 ₽
Маржа: 10.0% (6,195 ₽)
Себестоимость: 61,954 ₽
Уровень риска: medium
Решение: рекомендуется
Источник количества: llm
Уверенность ИИ: 0.90

Риски и флаги:
• Срок 20 дней при большом объёме

Транспортные: 40,000 ₽
Субподряд: 0 ₽
Обеспечение: 2,000 ₽",НЕТ,0.90
0301100000726000053,Прочая закупка услуг (Специальной оценки условий труда),96,"Запрос котировок в электронной форме, 44-ФЗ","115 200,00",https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0301100000726000053,АО «Сбербанк-АСТ»,Башкортостан Респ,,,,27.07.2026,не участвуем,"221 180,30",,,,"Тип: соут
НМЦК: 115,200 ₽
Расчётная цена: 221,180 ₽
Рекомендуемая цена: 221,180 ₽
Маржа: 10.0% (20,107 ₽)
Себестоимость: 201,073 ₽
Уровень риска: high
Решение: не участвуем
Источник количества: llm
Уверенность ИИ: 0.90

Риски и флаги:
• Себестоимость 201073₽ = 174.5% от НМЦК
• Нет данных о сроках исполнения (требуется детальный парсинг ТЗ)
• 9 городов — сложная логистика

Транспортные: 108,000 ₽
Субподряд: 0 ₽
Обеспечение: 2,000 ₽",НЕТ,0.90
0119200000126013229,ЭА-№-13073/26 «На оказание услуг по обучению работодателей и работников вопросам охраны труда для КГБУЗ «КГДБ № 8» (среди СМП и СОНКО)»,148,"Электронный аукцион, 44-ФЗ","159 833,83",https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0119200000126013229,АО «Сбербанк-АСТ»,Красноярский край,,Да,,05.08.2026,рекомендуется,"59 244,02",,,,"Тип: обучение
НМЦК: 159,834 ₽
Расчётная цена: 59,244 ₽
Рекомендуемая цена: 59,244 ₽
Маржа: 10.0% (5,386 ₽)
Себестоимость: 53,858 ₽
Уровень риска: medium
Решение: рекомендуется
Источник количества: llm
Уверенность ИИ: 0.90

Риски и флаги:
• Доп.расходы 5000-15000₽/день
• 4 городов — сложная логистика

Транспортные: 10,000 ₽
Субподряд: 0 ₽
Обеспечение: 2,000 ₽",НЕТ,0.90
