ID тендера,Наименование услуг,Количество,Способ проведения закупки,НМЦК,Ссылка на тендер,ЭТП,Регион,Обеспечение заявки,Обеспечение контракта,Способ обеспечения исполнения,Срок подачи заявки до,Решение по участию,Цена предложения,Результат,Дата заключения контракта,Дата выполнения работ,Комментарий от ИИ-агента,Ручная проверка,Уверенность ИИ,Комментарии руководителя отдела по участию
0372100021626000304,Оказание образовательных услуг по дополнительной профессиональной программе профессиональной переподготовки в области пожарной безопасности для получения квалификации «Специалист по пожарной профилактике»(СЗ-ПР-39-26),108,"Запрос котировок в электронной форме, 44-ФЗ","162 500,00",https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0372100021626000304,РТС-тендер,Санкт-Петербург,Да,"Да (16 250,00 Российский рубль
            
                (10 %))",Не требуется,11.08.2026,рекомендуется,"71 655,54",,,,,НЕТ,1.00,"Тип: комбинированный
НМЦК: 162,500 ₽
Расчётная цена: 71,656 ₽
Рекомендуемая цена: 71,656 ₽
Маржа: 10.0% (6,514 ₽)
Себестоимость: 65,141 ₽
Уровень риска: low
Решение: рекомендуется
Источник количества: llm_fallback
Уверенность ИИ: 1.00

Риски и флаги:
• Нет данных о сроках исполнения (требуется детальный парсинг ТЗ)

Транспортные: 12,000 ₽
Субподряд: 0 ₽
Обеспечение: 2,000 ₽"
0318300196626000024,Оказание услуг по специальной оценке условий труда и разработке процедуры и оценке профессиональных рисков,104,"Запрос котировок в электронной форме, 44-ФЗ","103 137,84",https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0318300196626000024,РТС-тендер,Краснодарский край,Не требуется,Да (5 %),Не требуется,11.08.2026,не участвуем,"99 155,54",,,,,НЕТ,1.00,"Тип: комбинированный
НМЦК: 103,138 ₽
Расчётная цена: 99,156 ₽
Рекомендуемая цена: 99,156 ₽
Маржа: 10.0% (9,014 ₽)
Себестоимость: 90,141 ₽
Уровень риска: high
Решение: не участвуем
Источник количества: fallback_text
Уверенность ИИ: 1.00

Риски и флаги:
• Себестоимость 90,141₽ = 87.4% от НМЦК 103,138₽ — минимальная маржа
• Себестоимость 90141₽ = 87.4% от НМЦК
• Срок 5 дней при большом объёме

Транспортные: 24,000 ₽
Субподряд: 0 ₽
Обеспечение: 2,000 ₽"
0387200006226000058,Оказание услуг по проведению специальной оценке условий труда,63,"Запрос котировок в электронной форме, 44-ФЗ","168 000,21",https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0387200006226000058,РТС-тендер,Ханты-Мансийский Автономный округ - Югра АО,Не требуется,"Да (16 800,02 Российский рубль
            
                (10 %))",Не требуется,11.08.2026,рекомендуется,"87 880,54",,,,,НЕТ,1.00,"Тип: комбинированный
НМЦК: 168,000 ₽
Расчётная цена: 87,881 ₽
Рекомендуемая цена: 87,881 ₽
Маржа: 10.0% (7,989 ₽)
Себестоимость: 79,891 ₽
Уровень риска: low
Решение: рекомендуется
Источник количества: fallback_text
Уверенность ИИ: 1.00

Риски и флаги:
• Нет данных о сроках исполнения (требуется детальный парсинг ТЗ)

Транспортные: 24,000 ₽
Субподряд: 0 ₽
Обеспечение: 2,000 ₽"
0375100001226000350,Оказание услуги по оценке профессиональных рисков и разработки методик оценки и управления профессиональными рисками,78,"Электронный аукцион, 44-ФЗ","110 760,00",https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0375100001226000350,АО «Сбербанк-АСТ»,Крым Респ,Не требуется,Да (30 %),Не требуется,12.08.2026,не участвуем,"15 000,00",,,,,ДА,1.00,"Тип: опр
НМЦК: 110,760 ₽
Расчётная цена: 15,000 ₽
Рекомендуемая цена: 15,000 ₽
Маржа: 278.0% (11,032 ₽)
Себестоимость: 3,968 ₽
Уровень риска: high
Решение: не участвуем
Источник количества: fallback_text
⚠️ ТРЕБУЕТСЯ РУЧНОЙ АНАЛИЗ: количество не определено или ненадёжно
Уверенность ИИ: 1.00

Риски и флаги:
• Маржа 278.0% аномально высокая (порог 200%) — проверьте количество и вариант расчёта
• Нет данных о сроках исполнения (требуется детальный парсинг ТЗ)
• Данные ненадёжны — требуется ручная проверка ТЗ
• 🚨 Аномально высокая маржа: 278.0%. Проверьте количество.

Транспортные: 0 ₽
Субподряд: 0 ₽
Обеспечение: 2,000 ₽"
