ID тендера,Наименование услуг,Количество,Способ проведения закупки,НМЦК,Ссылка на тендер,ЭТП,Регион,Обеспечение заявки,Обеспечение контракта,Способ обеспечения исполнения,Срок подачи заявки до,Решение по участию,Цена предложения,Результат,Дата заключения контракта,Дата выполнения работ,Комментарий от ИИ-агента,Ручная проверка,Уверенность ИИ,Комментарии руководителя отдела по участию
0372100021626000304,Оказание образовательных услуг по дополнительной профессиональной программе профессиональной переподготовки в области пожарной безопасности для получения квалификации «Специалист по пожарной профилактике»(СЗ-ПР-39-26),65,"Запрос котировок в электронной форме, 44-ФЗ","162 500,00",https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0372100021626000304,РТС-тендер,Санкт-Петербург,Да,"Да (16 250,00 Российский рубль
            
                (10 %))",Не требуется,11.08.2026,рекомендуется,"73 837,77",,,,,ДА,1.00,"Тип: обучение
НМЦК: 162,500 ₽
Расчётная цена: 73,838 ₽
Рекомендуемая цена: 73,838 ₽
Маржа: 10.0% (6,713 ₽)
Себестоимость: 67,125 ₽
Уровень риска: medium
Решение: рекомендуется
Источник количества: llm
⚠️ ТРЕБУЕТСЯ РУЧНОЙ АНАЛИЗ: количество не определено или ненадёжно
Уверенность ИИ: 1.00

Риски и флаги:
• Данные ненадёжны — требуется ручная проверка ТЗ
• ⚠️ Авто-определение документов для 65 слушателей. Требуется проверка ТЗ.

Транспортные: 10,000 ₽
Субподряд: 0 ₽
Обеспечение: 2,000 ₽"
0318300196626000024,Оказание услуг по специальной оценке условий труда и разработке процедуры и оценке профессиональных рисков,104,"Запрос котировок в электронной форме, 44-ФЗ","103 137,84",https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0318300196626000024,РТС-тендер,Краснодарский край,Не требуется,Да (5 %),Не требуется,11.08.2026,не участвуем,"99 155,54",,,,,НЕТ,1.00,"Тип: комбинированный
НМЦК: 103,138 ₽
Расчётная цена: 99,156 ₽
Рекомендуемая цена: 99,156 ₽
Маржа: 10.0% (9,014 ₽)
Себестоимость: 90,141 ₽
Уровень риска: high
Решение: не участвуем
Источник количества: fallback_text
Уверенность ИИ: 1.00

Риски и флаги:
• Себестоимость 90,141₽ = 87.4% от НМЦК 103,138₽ — минимальная маржа
• Себестоимость 90141₽ = 87.4% от НМЦК
• Срок 5 дней при большом объёме

Транспортные: 24,000 ₽
Субподряд: 0 ₽
Обеспечение: 2,000 ₽"
0387200006226000058,Оказание услуг по проведению специальной оценке условий труда,63,"Запрос котировок в электронной форме, 44-ФЗ","168 000,21",https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0387200006226000058,РТС-тендер,Ханты-Мансийский Автономный округ - Югра АО,Не требуется,"Да (16 800,02 Российский рубль
            
                (10 %))",Не требуется,11.08.2026,рекомендуется,"84 890,30",,,,,НЕТ,1.00,"Тип: соут
НМЦК: 168,000 ₽
Расчётная цена: 84,890 ₽
Рекомендуемая цена: 84,890 ₽
Маржа: 10.0% (7,717 ₽)
Себестоимость: 77,173 ₽
Уровень риска: low
Решение: рекомендуется
Источник количества: llm
Уверенность ИИ: 1.00

Риски и флаги:

Транспортные: 24,000 ₽
Субподряд: 0 ₽
Обеспечение: 2,000 ₽"
0325300017326000062,Оказание услуг по специальной оценке условий труда,86,"Запрос котировок в электронной форме, 44-ФЗ","123 266,38",https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0325300017326000062,АО «Сбербанк-АСТ»,Астраханская обл,Не требуется,Да (5 %),Не требуется,12.08.2026,рекомендуется,"54 750,30",,,,,НЕТ,1.00,"Тип: соут
НМЦК: 123,266 ₽
Расчётная цена: 54,750 ₽
Рекомендуемая цена: 54,750 ₽
Маржа: 10.0% (4,977 ₽)
Себестоимость: 49,773 ₽
Уровень риска: low
Решение: рекомендуется
Источник количества: llm
Уверенность ИИ: 1.00

Риски и флаги:
• Нет данных о сроках исполнения (требуется детальный парсинг ТЗ)

Транспортные: 12,000 ₽
Субподряд: 0 ₽
Обеспечение: 2,000 ₽"
0333300011326000287,Оказание услуг по проведению специальной оценки условий труда,136,"Запрос котировок в электронной форме, 44-ФЗ","240 267,12",https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0333300011326000287,АО «Сбербанк-АСТ»,Ивановская обл,Не требуется,Не требуется,Не требуется,12.08.2026,рекомендуется,"74 550,30",,,,,НЕТ,1.00,"Тип: соут
НМЦК: 240,267 ₽
Расчётная цена: 74,550 ₽
Рекомендуемая цена: 74,550 ₽
Маржа: 10.0% (6,777 ₽)
Себестоимость: 67,773 ₽
Уровень риска: low
Решение: рекомендуется
Источник количества: llm
Уверенность ИИ: 1.00

Риски и флаги:
• Нет данных о сроках исполнения (требуется детальный парсинг ТЗ)

Транспортные: 12,000 ₽
Субподряд: 0 ₽
Обеспечение: 2,000 ₽"
